is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
0,6,2,364,0,0,1,111,0.0165,0,0,1,0,1,1,1,1,1,1,0,0
1,19,3,842,0,0,2,489,0.0226,0,0,0,0,0,1,1,1,1,1,0,1
1,11,6,2029,1,0,4,358,0.0054,0,0,0,0,0,1,1,1,1,1,0,1
1,13,3,919,0,0,2,353,0.0141,0,0,0,0,0,1,1,1,1,1,0,1
1,12,8,1392,1,0,5,552,0.0086,0,0,0,0,0,1,1,1,1,1,0,1
1,10,5,2029,1,0,2,663,0.0049,0,0,0,0,0,1,1,1,1,1,0,1
1,9,6,2029,1,0,5,358,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,8,4,2029,1,0,3,699,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,369,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1058,0,0,0,77,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,120,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,978,0,0,0,390,0.001,0,0,1,0,1,1,1,1,0,0,1,0
1,8,4,1157,0,0,2,119,0.0069,0,0,0,0,0,1,1,1,1,1,0,1
1,14,8,2029,1,0,5,321,0.0069,0,0,0,0,0,1,1,1,1,1,0,1
1,14,7,2029,2,0,4,239,0.0069,0,0,0,0,0,1,1,1,1,1,0,1
1,16,5,925,0,0,4,291,0.0173,0,0,0,0,0,1,1,1,1,1,0,1
1,3,1,540,0,0,0,339,0.0056,0,0,0,0,0,1,1,1,1,1,0,1
1,7,5,1266,0,0,4,213,0.0055,0,0,0,0,0,1,1,1,1,1,0,1
1,2,1,1247,0,0,0,111,0.0016,0,0,0,0,0,1,1,1,1,1,0,1
1,10,4,832,0,0,2,46,0.012,0,0,0,0,0,1,1,1,1,1,0,1
1,8,4,1160,0,0,2,124,0.0069,0,0,0,0,0,1,1,1,1,1,0,1
1,12,6,2029,1,0,4,115,0.0059,0,0,0,0,0,1,1,1,1,1,0,1
1,10,4,2029,1,0,2,124,0.0049,0,0,0,0,0,1,1,1,1,1,0,1
1,13,7,1392,0,0,5,351,0.0093,0,0,0,0,0,1,1,1,1,1,0,1
1,4,4,1160,0,0,0,73,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,9,1,177,0,0,0,79,0.0508,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,1385,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,10,6,2029,1,0,4,1144,0.0049,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,177,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,250,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,30,12,2029,1,0,8,2649,0.0148,1,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,184,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,152,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,11,8,2029,1,0,7,757,0.0054,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,229,0,0,0,48,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,18,2,786,0,0,1,49,0.0229,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,416,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,403,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,1720,0,0,3,2147,0.0047,0,0,0,0,0,1,1,1,1,1,0,1
1,6,4,1720,0,0,3,626,0.0035,0,0,0,0,0,1,1,1,1,1,0,1
1,2,1,566,0,0,0,86,0.0035,0,0,0,0,0,1,1,1,1,1,0,1
